fournisseur_id,code,nom,pays,delai_moyen_jours,conditions
1,FRN-001,Nordik Textile inc.,Canada,7,Net 45
2,FRN-002,Alpin Équipement ltée,Canada,21,Net 60
3,FRN-003,Great Lakes Outdoor Co.,États-Unis,45,Net 45
4,FRN-004,Sentier Nord,Canada,45,Net 45
5,FRN-005,Vertex Gear Supply,États-Unis,45,2/10 Net 30
6,FRN-006,Fibrelac Manufacturing,Canada,10,Net 30
7,FRN-007,Han Yang Textiles,Vietnam,45,Net 60
8,FRN-008,Summit Trading Ltd,Chine,35,Net 60
9,FRN-009,Boréale Plein Air,Canada,35,2/10 Net 30
10,FRN-010,Cascade Sports Import,États-Unis,28,Net 60
11,FRN-011,Laurentide Outillage,Canada,10,Net 60
12,FRN-012,PolarTech Fabrics,Canada,7,Net 45
13,FRN-013,Rivière Bleue Pêche,Canada,7,Net 60
14,FRN-014,Delta Angling Supply,États-Unis,14,2/10 Net 30
15,FRN-015,Mont-Blanc Distribution,Canada,45,Net 30
16,FRN-016,Kestrel Import Group,Chine,10,2/10 Net 30
17,FRN-017,Forêt Verte Accessoires,Canada,45,Net 60
18,FRN-018,Tundra Winter Goods,Canada,7,Net 45
19,FRN-019,Saguenay Metal Works,Canada,28,Net 60
20,FRN-020,Pacific Rim Textiles,Vietnam,28,2/10 Net 30
21,FRN-021,Chemin Faisant inc.,Canada,14,Net 30
22,FRN-022,Northwind Apparel,États-Unis,7,2/10 Net 30
